date,topology,gross_ret,net_ret,turnover,rank_ic_round0,rank_ic_final,manager_source,longs,shorts,rationale
2025-01-06,sparse,-0.0019601788628972757,-0.004376845529563942,1.208333333333333,-0.17239124129752403,0.04550031695406395,llm,MCD|JNJ|HON|AAPL|GS,CSCO|PG|MSFT|DIS|KO,"Long on strong fundamentals and relative strength, short on underperforming and less attractive peers."
2025-01-06,sector,0.008069844133996546,0.0058698441339965456,1.1,-0.17239124129752403,0.27800206185561493,llm,V|MMM|CSCO|CRM|JNJ,MSFT|IBM|VZ|JPM|KO,"Long on strong fundamentals and growth, short on overvalued or underperforming stocks."
2025-01-07,full,-0.0040830294082220275,-0.007183029408222028,1.55,0.07681177885945396,-0.12136049830549489,llm,BA|AAPL|CRM|GS|MCD,MSFT|CSCO|NVDA|JPM|HD,Long on industry leaders with strong fundamentals and high confidence; short on technology and consumer stocks with lower relative attractiveness.
2025-01-07,sparse,-0.0008119844837756848,-0.003095317817109018,1.1416666666666664,0.07681177885945396,-0.07037395515126284,llm,NVDA|AAPL|HON|MCD|MRK,MSFT|AMZN|DIS|JPM|IBM,Long tech and consumer staples with strong confidence; short underperforming tech and media stocks.
2025-01-07,sector,-0.008184391440798616,-0.010884391440798615,1.3499999999999999,0.07681177885945396,-0.16607356932192918,llm,V|AAPL|PG|NKE|JNJ,MSFT|CRM|AMZN|CVX|HD,"Long on leading tech, consumer goods, and healthcare stocks; short on underperforming tech and consumer discretionary stocks."
2025-01-08,full,0.003416068400376558,0.001304957289265447,1.0555555555555554,-0.11915707305522755,-0.24813022707080432,llm,GS|AAPL|BA|MCD|CVX,CSCO|VZ|AXP|KO|IBM,"Long on top-rated, high-confidence stocks; short on underperforming, low-confidence names."
2025-01-08,sparse,-0.003938833426571935,-0.005938833426571935,1.0,-0.11915707305522755,-0.11536538934006106,llm,AAPL|MSFT|NVDA|BA|MCD,AMZN|HON|CRM|JPM|NKE,Long tech and consumer stocks with high scores and confidence; short underperforming financials and consumer staples.
2025-01-08,sector,-0.018002930651402564,-0.020669597318069232,1.3333333333333333,-0.11915707305522755,-0.2970836835951251,llm,GS|JNJ|TRV|VZ|AXP,NKE|AMZN|CRM|CVX|BA,Long on strong fundamentals and high confidence; short on weaker relative performance and clear reversal signals.
2025-01-10,full,0.0037049904273145856,0.0015938793162034747,1.0555555555555554,-0.4078604615397391,0.053607269117864564,llm,GS|AAPL|HON|JNJ|CRM,AMZN|PG|CSCO|IBM|VZ,"Long on high-confidence, high-score tech and industrials; short on low-score consumer and tech stocks."
2025-01-10,sparse,0.015189181711958457,0.011964181711958458,1.6124999999999998,-0.4078604615397391,-0.10024623014659786,llm,AMZN|AMGN|MMM|CVX|JNJ,CRM|HON|VZ|MSFT|IBM,"Long on growth and fundamentals, short on relative underperformance and weaker outlook."
2025-01-10,sector,0.005536449431101638,0.002869782764434971,1.3333333333333333,-0.4078604615397391,-0.12718584312957087,llm,GS|AMGN|MCD|AAPL|VZ,AMZN|CSCO|NVDA|UNH|PG,Long on strong fundamentals and high confidence; short on weak relative performance and clear underperformance.
2025-01-13,full,0.0013442780108979917,-0.0007557219891020082,1.0499999999999998,0.013820803561201028,0.028775316060515855,llm,GS|AAPL|MSFT|UNH|MMM,CRM|AMZN|PG|WMT|DOW,Long on financials and tech leaders with strong fundamentals; short on underperforming tech and consumer staples.
2025-01-13,sparse,-0.0034765311934793434,-0.0071765311934793435,1.8499999999999999,0.013820803561201028,-0.31764557252086034,llm,MSFT|GS|MRK|MCD|JNJ,PG|AAPL|DOW|NVDA|TRV,Long tech and consumer staples with strong fundamentals; short underperforming financials and consumer goods.
2025-01-13,sector,0.004043172791743905,0.001347094360371356,1.3480392156862744,0.013820803561201028,0.08765105511788407,llm,GS|AAPL|V|IBM|NKE,BA|CSCO|MSFT|DOW|JNJ,"Long on strong fundamentals and high confidence, short on weaker performers with clear underperformance."
